name,location,studio,1bedroom,2bedroom,3bedroom,4bedroom,5bedroom,minPrice,maxPrice,website
The Hub,437 N Frances St Madison WI 53703,yes,yes,yes,yes,yes,no,$750 ,"$1,650 ",http://hubmadison.com/
Odessa,12 Butler St Madison WI 53703,yes,yes,no,no,no,no,$850 ,"$3,750 ",http://www.butlerplaza.net/odessa
Capitol Hill Apartments,121-127 E Mifflin St Madison WI 53703,no,yes,yes,no,no,no,"$1,505 ","$2,275 ",http://www.uli.com/residential/property/capitol-hill
Varsity Quarters,1423 Monroe St Madison WI 53711,yes,yes,yes,yes,yes,no,$809 ,"$1,235 ",http://varsityquarters.com/
Uncommon Madison,114 N Bedford St Madison WI 53703,yes,yes,yes,yes,yes,no,$775 ,"$1,499 ",http://uncommonmadison.com/
Domain,409 W Johnson St Madison WI 53703,yes,yes,yes,no,no,no,"$1,460 ","$2,495 ",https://www.claimyourdomainnow.com/
The Constellation,10 N Livingston St Madison WI 53703,yes,yes,yes,yes,no,no,$795 ,"$2,445 ",http://www.constellation-madison.com/
Galaxie High Rise Apartments,822 E Washington Ave Madison WI 53703,yes,yes,yes,yes,no,no,"$1,175 ","$2,775 ",http://www.madisonproperty.com/galaxie.aspx
Ovation 309,309 W Johnson St Madison WI 53703,no,yes,yes,yes,no,no,"$1,455 ","$5,250 ",http://ovation309.com/
The Pressman,117 South Hamilton St Madison WI 53703,no,yes,yes,no,no,no,"$1,435 ","$3,325 ",http://www.uli.com/news/the-pressman
Washington Court Apartments,536-540 W Washington Ave Madison WI 53703,no,no,yes,yes,no,no,"$1,750 ","$2,370 ",http://www.kellerrealestategroup.com/node/96
SEVEN27,727 Lorillard Ct Madison WI 53703,yes,yes,no,no,no,no,"$1,255 ","$1,590 ",http://www.uli.com/residential/property/seven27-at-the-yards
Nine Line,633 W Wilson St Madison WI 53703,no,yes,yes,yes,no,no,"$1,380 ","$3,460 ",http://www.uli.com/residential/property/nine-line-at-the-yards
The Lux,433 W Johnson St Madison WI 53703,no,yes,yes,no,no,no,"$1,275 ","$2,000 ",http://www.oroszproperties.com/lux
