name,location,type,price
The Hub,437 N Frances St Madison WI 53703,Studio - 1 to 4 Bedroom(s),$750-1650
Odessa,12 Butler St Madison WI 53703,Studio - 1 Bedroom,$850-3750
Capitol Hill Apartments,121-127 E Mifflin St Madison WI 53703,1 to 2 Bedroom(s),$1505-2275
Varsity Quarters,1423 Monroe St Madison WI 53711,Studio - 1 to 4 Bedroom(s),$809-1235
Uncommon Madison,114 N Bedford St Madison WI 53703,Studio - 1 to 4 Bedrooms,$775-1499
Domain,409 W Johnson St Madison WI 53703,Studio - 1 to 2 Bedroom(s),$1460-2495
The Constellation,10 N Livingston St Madison WI 53703,Stuido - 1 to 3 Bedroom(s),$795-2445
Galaxie High Rise Apartments,822 E Washington Ave Madison WI 53703,Studio - 1 to 3 Bedroom(s),$1175-2775
Ovation 309,309 W Johnson St Madison WI 53703,1 to 3 Bedroom(s),$1455-5250
The Pressman,117 South Hamilton St Madison WI 53703,1 to 2 Bedroom(s),$1435-3325
Washington Court Apartments,536-540 W Washington Ave Madison WI 53703,2 to 3 Bedrooms,$1750-2370
SEVEN27,727 Lorillard Ct Madison WI 53703,Studio - 1 Bedroom,$1255--1590
Nine Line,633 W Wilson St Madison WI 53703,1 to 3 Bedroom,$1380-3460
The Lux,433 W Johnson St Madison WI 53703,1 to 2 Bedroom(s),$1275-2000
Capitol Centre Court,344 W Dayton St Madison WI 53703,1 to 2 Bedroom(s),$965-1495
The Ideal,901 Drake St Madison WI 53715,Studio - 1 to 2 Bedroom(s),$1585-2125
Vicinato,115 S Mills St Madison WI 53715,Studio - 1 to 2 Bedroom(s),$1245-1595
Caputo Apartments,107 State St Madison WI 53703,1 to 2 Bedroom(s),$1100-1585 
Park Place,510-520 W Dayton St  Madison WI 53703,Studio - 1 to 4 Bedroom(s),$1125-2925
306 West,306 W Main St Madison WI 53703,1 to 2 Bedroom(s),$1350-3250
The Depot,18-26 S Bedford St Madison WI 53703,1 to 2 Bedroom(s),$1315-1980
Longfellow Lofts,1015 Mound St Madison WI 53715,1 to 2 Bedroom(s),$1420-2190
Bedford Crossing,201 S Bedford St Madison WI 53703,1 Bedroom,$1050-1300
Campus Village Apartments,1002 Spring St Madison WI 53715,1 to 4 Bedroom(s),$1600-2020
Laciel,515 University Ave Madison WI 53703,Studio - 1 to 4 Bedroom(s),$1050-3595
Park Regent Apartments,4 N Park St Madison WI 53715,1 to 5 Bedroom(s),$1395-2695
Laville,431 W Gorham St Madison WI 53703,1-4 Bedroom(s),$1520-1570
The Waterfront apartments,633 N Henry St Madison WI 53703,Studio - 1 to 2 Bedroom(s),$1000-2300
City Place,430-432 W Main St  Madison WI 53703,1-2 Bedroom(s),$1160-1280
College Station,104 S Brooks St Madison WI 53715,1-4 Bedroom(s),$850-1295
Lucky,777 University Ave Madison WI 53715,1 Bedroom,$1100
Highlander Apartments,121 W Gilman St Madison WI 53703,2 Bedroom,$525
University Square Apartments,212 Marion St Madison WI 53703,Studio,$629-729
Inez Apartments,511 W Johnson St Madison WI 53703,Studio - 1 Bedroom,$799-1129$
Ambassador West,434 W Mifflin St Madison WI 53703,Studio - 1 Bedroom,$699-999
City View,313 N Frances St Madison WI 53703,1 Bedroom,$1325-1330 
Madison Mark,225 King St Madison WI 53703,1-2 Bedroom(s),$1090-2025
Quisling Terrace,2 Gorham St Madison WI 53703,Studio - 1 to 2 Bedroom(s),$817-1350
The Lurican,417 W Dayton St Madison WI 53703,1 Bedroom,$1375
Saxony Apartments,530 W Johnson St Madison WI 53703,3 Bedrooms,$2085
Rivers Edge,1614 Fordem Ave Madison WI 53704,Studio - 1 to 3 Bedroom(s),$790-1405
Briarwood,1818 Fordem Ave Madison WI 53704,Studio - 1 to 3 Bedroom(s),$800-1310
Yahara Landing,1624 Fordem Ave Madison WI 53704,2 Bedrooms,$1110
Cornerstone,266 Dunning St Madison WI 53704,2 Bedrooms,$2350
Kennedy Place,2045 Atwood Ave Madison WI 53704,1 Bedroom,$1350
The Surf,661 Mendota Ct Madison WI 53703,Studio - 2 Bedrooms,$750-1650
Humbucker Apartments,1216 Spring St Madison WI 53715,2 Bedrooms,$1675-1700
Bel Mora,544 W Main St Madison WI 53703,1 Bedroom,$1310-1425
Langdon Hall Apartments,633 Langdon St Madison WI 53703,Studio - 1 & 3 Bedroom(s),$740-1900
























